<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.20	09:45:00	3358.233	3359.236	3354.349	3355.228	2032	0	160
2025.06.20	10:00:00	3355.262	3356.817	3354.920	3356.230	1657	0	160
2025.06.20	10:15:00	3356.220	3357.928	3355.147	3356.395	1318	0	160
2025.06.20	10:30:00	3356.400	3356.984	3355.110	3356.762	1233	0	160
2025.06.20	10:45:00	3356.720	3357.533	3355.354	3355.374	1283	0	160
2025.06.20	11:00:00	3355.429	3356.048	3352.972	3354.342	1654	0	160
2025.06.20	11:15:00	3354.313	3354.521	3351.201	3351.803	1313	0	160
2025.06.20	11:30:00	3351.828	3355.550	3351.098	3351.768	1853	0	160
2025.06.20	11:45:00	3351.744	3354.049	3346.498	3347.051	4818	0	160
2025.06.20	12:00:00	3347.094	3350.415	3345.718	3348.015	2821	0	160
2025.06.20	12:15:00	3348.040	3350.723	3346.658	3348.349	2370	0	160
2025.06.20	12:30:00	3348.420	3349.382	3341.902	3346.527	4948	0	160
2025.06.20	12:45:00	3346.561	3346.782	3343.317	3344.444	3366	0	160
2025.06.20	13:00:00	3344.513	3353.201	3343.039	3352.571	4065	0	160
2025.06.20	13:15:00	3352.560	3357.463	3350.657	3357.051	3270	0	160
2025.06.20	13:30:00	3357.015	3364.829	3356.543	3364.113	5659	0	160
2025.06.20	13:45:00	3364.144	3373.885	3364.014	3370.312	4695	0	160
2025.06.20	14:00:00	3370.368	3374.477	3366.264	3370.751	4504	0	160
2025.06.20	14:15:00	3370.790	3371.179	3365.212	3367.853	3885	0	160
2025.06.20	14:30:00	3367.894	3370.556	3365.387	3367.401	3672	0	160
2025.06.20	14:45:00	3367.383	3370.650	3365.196	3369.235	2780	0	160
2025.06.20	15:00:00	3369.278	3371.664	3367.170	3367.518	2567	0	160
2025.06.20	15:15:00	3367.555	3369.166	3365.860	3368.636	2144	0	160
2025.06.20	15:30:00	3368.564	3368.877	3366.403	3366.436	1854	0	160
2025.06.20	15:45:00	3366.465	3371.752	3366.351	3369.856	1789	0	160
2025.06.20	16:00:00	3369.786	3370.402	3367.712	3369.665	1885	0	160
2025.06.20	16:15:00	3369.622	3370.940	3368.988	3369.540	1388	0	160
2025.06.20	16:30:00	3369.585	3373.365	3369.039	3373.087	1472	0	160
2025.06.20	16:45:00	3373.095	3373.330	3370.205	3371.518	1479	0	160
2025.06.20	17:00:00	3371.461	3371.806	3370.051	3370.874	1201	0	160
2025.06.20	17:15:00	3370.933	3371.678	3369.583	3369.854	1480	0	160
2025.06.20	17:30:00	3369.885	3370.133	3367.964	3369.552	1321	0	160
2025.06.20	17:45:00	3369.573	3370.318	3366.546	3367.356	1517	0	160
2025.06.20	18:00:00	3367.400	3367.963	3365.890	3366.698	1214	0	160
2025.06.20	18:15:00	3366.660	3367.001	3364.696	3365.987	1477	0	160
2025.06.20	18:30:00	3365.946	3366.451	3364.579	3365.789	1094	0	160
2025.06.20	18:45:00	3365.781	3367.408	3365.040	3366.720	1089	0	160
2025.06.20	19:00:00	3366.748	3370.724	3366.461	3370.234	1348	0	160
2025.06.20	19:15:00	3370.309	3370.701	3368.927	3369.435	1130	0	160
2025.06.20	19:30:00	3369.411	3369.594	3365.683	3365.772	1173	0	160
2025.06.20	19:45:00	3365.811	3366.106	3364.844	3365.625	1176	0	160
2025.06.20	20:00:00	3365.578	3366.367	3364.690	3365.542	1217	0	160
2025.06.20	20:15:00	3365.545	3369.094	3365.390	3368.338	1090	0	160
2025.06.20	20:30:00	3368.325	3369.255	3367.733	3368.136	828	0	160
2025.06.20	20:45:00	3368.181	3369.314	3368.181	3368.618	987	0	160
2025.06.22	22:00:00	3384.117	3388.928	3375.437	3380.021	3904	0	160
2025.06.22	22:15:00	3379.991	3386.044	3375.666	3375.771	5094	0	160
2025.06.22	22:30:00	3375.736	3380.187	3372.297	3379.710	4698	0	160
2025.06.22	22:45:00	3379.687	3384.633	3378.241	3379.119	2668	0	160
2025.06.22	23:00:00	3379.143	3380.631	3372.382	3376.006	3409	0	160
2025.06.22	23:15:00	3376.015	3377.127	3373.166	3375.004	1934	0	160
2025.06.22	23:30:00	3374.980	3378.454	3374.747	3376.898	2066	0	160
2025.06.22	23:45:00	3376.856	3376.913	3371.173	3372.755	2575	0	160
2025.06.23	00:00:00	3372.776	3373.551	3366.837	3368.339	3890	0	160
2025.06.23	00:15:00	3368.377	3369.214	3362.256	3362.838	3163	0	160
2025.06.23	00:30:00	3362.868	3366.182	3358.317	3365.041	3892	0	160
2025.06.23	00:45:00	3364.983	3366.895	3363.117	3365.690	2832	0	160
2025.06.23	01:00:00	3365.762	3368.135	3361.911	3365.660	5070	0	160
2025.06.23	01:15:00	3365.685	3366.038	3351.918	3353.472	4786	0	160
2025.06.23	01:30:00	3353.506	3359.111	3352.784	3358.024	3479	0	160
2025.06.23	01:45:00	3358.078	3358.170	3354.344	3355.307	2742	0	160
2025.06.23	02:00:00	3355.263	3363.761	3354.768	3362.892	2569	0	160
2025.06.23	02:15:00	3362.898	3364.935	3362.216	3363.352	1887	0	160
2025.06.23	02:30:00	3363.249	3364.392	3361.288	3362.811	2067	0	160
2025.06.23	02:45:00	3362.773	3363.033	3360.648	3361.564	1853	0	160
2025.06.23	03:00:00	3361.555	3366.423	3360.366	3363.599	2020	0	160
2025.06.23	03:15:00	3363.646	3366.047	3361.453	3361.828	1840	0	160
2025.06.23	03:30:00	3361.730	3364.790	3361.228	3362.451	2044	0	160
2025.06.23	03:45:00	3362.415	3364.418	3362.225	3363.372	1384	0	160
2025.06.23	04:00:00	3363.385	3365.061	3361.366	3361.852	1505	0	160
2025.06.23	04:15:00	3361.849	3362.359	3358.420	3359.888	1374	0	160
2025.06.23	04:30:00	3359.881	3361.051	3356.831	3357.761	1336	0	160
2025.06.23	04:45:00	3357.790	3359.100	3357.314	3358.472	1081	0	160
2025.06.23	05:00:00	3358.466	3360.602	3357.864	3358.735	1469	0	160
2025.06.23	05:15:00	3358.694	3359.549	3354.444	3355.060	2132	0	160
2025.06.23	05:30:00	3355.075	3355.957	3346.971	3353.169	3623	0	160
2025.06.23	05:45:00	3353.217	3357.432	3353.217	3356.776	2194	0	160
2025.06.23	06:00:00	3356.818	3359.838	3354.695	3356.450	2462	0	160
2025.06.23	06:15:00	3356.424	3358.046	3353.807	3355.054	2558	0	160
2025.06.23	06:30:00	3355.048	3357.070	3352.673	3353.378	2126	0	160
2025.06.23	06:45:00	3353.340	3358.685	3353.052	3357.578	2008	0	160
2025.06.23	07:00:00	3357.542	3357.926	3351.646	3352.609	2622	0	160
2025.06.23	07:15:00	3352.501	3356.594	3352.250	3356.489	2010	0	160
2025.06.23	07:30:00	3356.464	3358.680	3354.183	3355.994	1769	0	160
